"Item_Identifier","Item_Weight","Item_Fat_Content","Item_Visibility","Item_Type","Item_MRP","Outlet_Identifier","Outlet_Establishment_Year","Outlet_Size","Outlet_Location_Type","Outlet_Type","Item_Outlet_Sales","Item_Category","Outler_Age"
"FDN22",18.85,"2",0.138190277,"14",250.8724,"OUT013",1987,"1","3","2",3775.086,"Food",30
"FDW12",8.315,"2",0.035399923,"1",144.5444,"OUT027",1985,"2","3","4",4064.0432,"Food",32
"NCB30",14.6,"1",0.025698134,"10",196.5084,"OUT035",2004,"3","2","2",1587.2672,"Non Consumable",13
"FDC37",15.5,"1",0.057556998,"1",107.6938,"OUT019",1985,"3","1","1",214.3876,"Food",32
"FDR28",13.85,"2",0.025896485,"6",165.021,"OUT046",1997,"3","1","2",4078.025,"Food",20
"NCD06",13,"1",0.099887103,"10",45.906,"OUT017",2007,"3","2","2",838.908,"Non Consumable",10
"FDV10",7.645,"2",0.066693437,"14",42.3112,"OUT035",2004,"3","2","2",1065.28,"Food",13
"DRJ59",11.65,"1",0.019356132,"8",39.1164,"OUT013",1987,"1","3","2",308.9312,"Drinks",30
"FDE51",5.925,"2",0.161466534,"5",45.5086,"OUT010",1998,"1","3","1",178.4344,"Food",19
"FDC14",14.5,"2",0.072221801,"4",43.6454,"OUT019",1985,"3","1","1",125.8362,"Food",32
"FDV38",19.25,"1",0.170348551,"5",55.7956,"OUT010",1998,"1","3","1",163.7868,"Food",19
"NCS17",18.6,"1",0.080829372,"9",96.4436,"OUT018",2009,"2","3","3",2741.7644,"Non Consumable",8
"FDP33",18.7,"1",0.0642573974698545,"14",256.6672,"OUT018",2009,"2","3","3",3068.0064,"Food",8
"FDO23",17.85,"1",0.0648003527697595,"2",93.1436,"OUT045",2002,"3","2","2",2174.5028,"Food",15
"DRH01",17.5,"1",0.097904029,"15",174.8738,"OUT046",1997,"3","1","2",2085.2856,"Drinks",20
"NCX29",10,"1",0.089291137,"9",146.7102,"OUT049",1999,"2","1","2",3791.0652,"Non Consumable",18
"FDV20",20.2,"2",0.059511812,"7",128.0678,"OUT027",1985,"2","3","4",2797.6916,"Food",32
"DRZ11",8.85,"2",0.113123893,"15",122.5388,"OUT018",2009,"2","3","3",1609.9044,"Drinks",8
"FDX10",6.385,"2",0.123111453,"14",36.9874,"OUT027",1985,"2","3","4",388.1614,"Food",32
"FDB34",15.25,"1",0.026480954,"14",87.6198,"OUT027",1985,"2","3","4",2180.495,"Food",32
"FDU02",13.35,"1",0.102511504,"5",230.6352,"OUT046",1997,"3","1","2",3435.528,"Food",20
"FDK43",9.8,"1",0.02681843,"11",126.002,"OUT013",1987,"1","3","2",2150.534,"Food",30
"FDA46",13.6,"1",0.117818348,"14",192.9136,"OUT049",1999,"2","1","2",2527.3768,"Food",18
"FDC02",21.35,"1",0.069102831,"4",259.9278,"OUT018",2009,"2","3","3",6768.5228,"Food",8
"FDL50",12.15,"2",0.042277867,"4",126.5046,"OUT013",1987,"1","3","2",373.5138,"Food",30
"FDM39",6.42,"1",0.089498926,"5",178.1002,"OUT010",1998,"1","3","1",358.2004,"Food",19
"NCP05",19.6,"1",0.0648003527697595,"9",153.3024,"OUT045",2002,"3","2","2",2428.8384,"Non Consumable",15
"FDV49",10,"1",0.025879577,"4",265.2226,"OUT045",2002,"3","2","2",5815.0972,"Food",15
"FDL12",15.85,"2",0.121632721,"1",60.622,"OUT046",1997,"3","1","2",2576.646,"Food",20
"FDS02",10.195,"2",0.255394896,"5",196.8794,"OUT019",1985,"3","1","1",780.3176,"Food",32
"NCL17",7.39,"1",0.067779712,"9",143.8812,"OUT046",1997,"3","1","2",3134.5864,"Non Consumable",20
"FDM40",10.195,"1",0.159803853,"6",141.5154,"OUT013",1987,"1","3","2",850.8924,"Food",30
"FDR13",9.895,"2",0.028696932,"4",117.0492,"OUT013",1987,"1","3","2",810.9444,"Food",30
"FDA43",10.895,"1",0.065041581,"7",196.3794,"OUT017",2007,"3","2","2",3121.2704,"Food",10
"NCP18",12.15,"1",0.028760013,"10",151.4708,"OUT017",2007,"3","2","2",4815.0656,"Non Consumable",10
"FDK21",7.905,"1",0.010053105,"14",249.0408,"OUT018",2009,"2","3","3",6258.52,"Food",8
"NCX54",9.195,"1",0.048157338,"10",106.1622,"OUT045",2002,"3","2","2",2117.244,"Non Consumable",15
"DRK35",8.365,"1",0.071958197,"8",38.0506,"OUT049",1999,"2","1","2",796.9626,"Drinks",18
"FDY21",15.1,"1",0.173481304,"14",194.511,"OUT046",1997,"3","1","2",4910.275,"Food",20
"FDI26",5.94,"1",0.061082177,"4",180.0344,"OUT019",1985,"3","1","1",892.172,"Food",32
"FDM20",10,"1",0.0642573974698545,"7",246.9144,"OUT018",2009,"2","3","3",3185.1872,"Food",8
"FDV27",7.97,"2",0.040071131,"11",87.3514,"OUT045",2002,"3","2","2",1062.6168,"Food",15
"FDF09",6.215,"1",0.012090074,"7",38.2848,"OUT027",1985,"2","3","4",484.7024,"Food",32
"FDY40",15.5,"2",0.15028599,"6",51.0692,"OUT019",1985,"3","1","1",147.8076,"Food",32
"FDY45",17.5,"1",0.026015519,"14",255.8356,"OUT027",1985,"2","3","4",2543.356,"Food",32
"FDC46",17.7,"1",0.195068226,"14",185.4266,"OUT010",1998,"1","3","1",184.4266,"Food",19
"FDH19",19.35,"1",0.033082215,"11",172.5738,"OUT035",2004,"3","2","2",4865.6664,"Food",13
"FDZ03",13.65,"2",0.078946455,"5",186.024,"OUT045",2002,"3","2","2",1118.544,"Food",15
"DRH37",17.6,"1",0.041700756,"15",164.8526,"OUT045",2002,"3","2","2",2302.3364,"Drinks",15
"NCI17",8.645,"1",0.143422643,"9",95.841,"OUT046",1997,"3","1","2",2027.361,"Non Consumable",20
"FDJ58",15.6,"2",0.105296072,"14",170.1764,"OUT046",1997,"3","1","2",3435.528,"Food",20
"FDL12",15.85,"2",0.121531501,"1",59.222,"OUT013",1987,"1","3","2",599.22,"Food",30
"FDH35",18.25,"1",0.0648003527697595,"16",164.7526,"OUT045",2002,"3","2","2",4604.6728,"Food",15
"FDG02",7.855,"1",0.011324862,"4",189.6188,"OUT017",2007,"3","2","2",2285.0256,"Food",10
"NCZ18",7.825,"1",0.186357148,"10",254.3698,"OUT049",1999,"2","1","2",5580.7356,"Non Consumable",18
"FDC29",8.39,"2",0.024205661,"6",114.0176,"OUT046",1997,"3","1","2",2290.352,"Food",20
"FDQ10",12.85,"1",0.033230816,"14",172.3422,"OUT049",1999,"2","1","2",1207.0954,"Food",18
"FDN48",13.35,"1",0.113720344,"1",89.9804,"OUT019",1985,"3","1","1",643.1628,"Food",32
"FDL04",19,"1",0.112556507,"6",104.9622,"OUT017",2007,"3","2","2",1587.933,"Food",10
"FDV25",5.905,"1",0.0648003527697595,"4",222.5456,"OUT045",2002,"3","2","2",5305.0944,"Food",15
"FDD58",7.76,"1",0.059352241,"14",101.87,"OUT046",1997,"3","1","2",1697.79,"Food",20
"FDN04",11.8,"2",0.014087057,"6",180.3344,"OUT046",1997,"3","1","2",1427.4752,"Food",20
"FDV45",16.75,"1",0.045230944,"14",187.9556,"OUT018",2009,"2","3","3",4693.89,"Food",8
"NCL18",18.85,"1",0.293417759,"10",194.6136,"OUT019",1985,"3","1","1",583.2408,"Non Consumable",32
"FDR12",12.6,"2",0.031382044,"1",171.3764,"OUT027",1985,"2","3","4",3091.9752,"Food",32
"FDG20",15.5,"2",0.12639886,"7",177.0028,"OUT017",2007,"3","2","2",2479.4392,"Food",10
"FDZ55",6.055,"1",0.025403898,"7",160.992,"OUT035",2004,"3","2","2",2716.464,"Food",13
"FDQ49",20.2,"2",0.039057677,"3",155.963,"OUT027",1985,"2","3","4",3285.723,"Food",32
"FDN33",6.305,"2",0.123115764,"14",95.6436,"OUT046",1997,"3","1","2",661.8052,"Food",20
"FDN27",20.85,"1",0.039624006,"11",117.2808,"OUT049",1999,"2","1","2",1523.3504,"Food",18
"FDW20",20.75,"1",0.040421193,"7",122.173,"OUT010",1998,"1","3","1",369.519,"Food",19
"DRG27",8.895,"1",0.105274111,"5",39.9138,"OUT049",1999,"2","1","2",690.4346,"Drinks",18
"DRI25",19.6,"1",0.033970195,"15",55.1614,"OUT045",2002,"3","2","2",1381.535,"Drinks",15
"FDA44",19.7,"1",0.053212652,"7",57.893,"OUT035",2004,"3","2","2",622.523,"Food",13
"NCR17",9.8,"1",0.024378706,"9",114.5492,"OUT035",2004,"3","2","2",1274.3412,"Non Consumable",13
"FDU04",7.93,"1",0.009714595,"6",120.0414,"OUT019",1985,"3","1","1",487.3656,"Food",32
"FDF41",12.15,"1",0.131383762,"6",246.046,"OUT049",1999,"2","1","2",1231.73,"Food",18
"FDB56",8.75,"2",0.07461309,"7",187.4556,"OUT035",2004,"3","2","2",3755.112,"Food",13
"NCP18",12.15,"1",0.028459761,"10",149.9708,"OUT027",1985,"2","3","4",4363.6532,"Non Consumable",32
"FDB56",8.75,"2",0.074627201,"7",187.8556,"OUT046",1997,"3","1","2",1314.2892,"Food",20
"FDT28",13.3,"1",0.063695084,"6",151.0708,"OUT045",2002,"3","2","2",1805.6496,"Food",15
"FDD10",20.6,"2",0.045797829,"14",178.5344,"OUT027",1985,"2","3","4",2854.9504,"Food",32
"FDW57",8.31,"2",0.115857223,"14",179.1028,"OUT049",1999,"2","1","2",3896.2616,"Food",18
"DRB48",16.75,"2",0.024832806,"15",38.7822,"OUT013",1987,"1","3","2",667.7974,"Drinks",30
"FDP09",19.75,"1",0.034027909,"14",212.0902,"OUT018",2009,"2","3","3",3185.853,"Food",8
"FDH14",17.1,"2",0.0467696,"4",141.1838,"OUT013",1987,"1","3","2",2247.7408,"Food",30
"FDA47",10.5,"2",0.116576702,"1",163.121,"OUT013",1987,"1","3","2",1794.331,"Food",30
"FDG12",6.635,"2",0.0648003527697595,"1",121.3098,"OUT045",2002,"3","2","2",2530.7058,"Food",15
"DRE60",9.395,"1",0.278974075,"15",225.372,"OUT019",1985,"3","1","1",679.116,"Drinks",32
"DRK49",14.15,"1",0.035913805,"15",41.4138,"OUT013",1987,"1","3","2",812.276,"Drinks",30
"FDD03",13.3,"1",0.079806266,"5",232.53,"OUT046",1997,"3","1","2",699.09,"Food",20
"FDS52",8.89,"1",0.005505481,"6",102.4016,"OUT017",2007,"3","2","2",2732.4432,"Food",10
"FDW39",6.69,"2",0.064625342,"11",176.937,"OUT019",1985,"3","1","1",176.437,"Food",32
"FDX34",6.195,"1",0.071636937,"14",121.7098,"OUT027",1985,"2","3","4",4097.3332,"Food",32
"FDV11",9.1,"2",0.0648003527697595,"2",173.2054,"OUT045",2002,"3","2","2",3151.8972,"Food",15
"FDD17",7.5,"1",0.032677678,"6",239.0906,"OUT049",1999,"2","1","2",5942.265,"Food",18
"FDZ16",16.85,"2",0.160760054,"6",192.4478,"OUT017",2007,"3","2","2",4843.695,"Food",10
"FDZ46",7.485,"1",0.06911065,"14",109.0228,"OUT035",2004,"3","2","2",2542.0244,"Food",13
"DRA12",11.6,"1",0.041177505,"15",140.3154,"OUT017",2007,"3","2","2",2552.6772,"Drinks",10
"FDY58",11.65,"1",0.040081193,"14",227.0694,"OUT018",2009,"2","3","3",1141.847,"Food",8
"NCF19",13,"1",0.035307322,"10",47.5034,"OUT017",2007,"3","2","2",680.4476,"Non Consumable",10
"DRJ13",12.65,"1",0.063017847,"15",159.0578,"OUT045",2002,"3","2","2",2085.9514,"Drinks",15
"FDB14",20.25,"2",0.171938781,"4",92.512,"OUT010",1998,"1","3","1",186.424,"Food",19
"FDJ38",8.6,"2",0.040197932,"4",190.153,"OUT035",2004,"3","2","2",3036.048,"Food",13
"FDW11",12.6,"1",0.049058014,"2",62.7194,"OUT017",2007,"3","2","2",866.8716,"Food",10
"FDL40",17.7,"1",0.01161096,"6",95.041,"OUT035",2004,"3","2","2",868.869,"Food",13
"DRI49",14.15,"1",0.183507295,"15",82.4276,"OUT046",1997,"3","1","2",1137.1864,"Drinks",20
"FDV38",19.25,"1",0.102349519,"5",52.7956,"OUT017",2007,"3","2","2",928.1252,"Food",10
"DRG23",8.88,"1",0.086708987,"8",151.7682,"OUT013",1987,"1","3","2",762.341,"Drinks",30
"NCP30",20.5,"1",0.032835147,"10",40.2822,"OUT045",2002,"3","2","2",707.0796,"Non Consumable",15
"FDY25",12,"1",0.033809913,"4",180.5976,"OUT027",1985,"2","3","4",7968.2944,"Food",32
"NCH54",13.5,"1",0.07266912,"10",160.292,"OUT046",1997,"3","1","2",1438.128,"Non Consumable",20
"NCR53",12.15,"1",0.144338493,"9",224.4404,"OUT027",1985,"2","3","4",6976.2524,"Non Consumable",32
"FDS52",8.89,"1",0.009163216,"6",101.7016,"OUT010",1998,"1","3","1",101.2016,"Food",19
"FDG02",7.855,"1",0.011307038,"4",188.5188,"OUT018",2009,"2","3","3",952.094,"Food",8
"NCO26",7.235,"1",0.076855628,"10",116.0492,"OUT046",1997,"3","1","2",1969.4364,"Non Consumable",20
"FDH35",18.25,"1",0.059956876,"16",165.4526,"OUT027",1985,"2","3","4",5262.4832,"Food",32
"FDB51",6.92,"1",0.038532062,"5",60.5852,"OUT045",2002,"3","2","2",1314.2892,"Food",15
"FDX44",9.3,"1",0.043209581,"7",90.8172,"OUT017",2007,"3","2","2",535.3032,"Food",10
"NCN07",18.5,"1",0.056816465,"12",132.1284,"OUT010",1998,"1","3","1",263.6568,"Non Consumable",19
"NCC31",8.02,"1",0.019866705,"10",154.5972,"OUT035",2004,"3","2","2",1402.1748,"Non Consumable",13
"NCX54",9.195,"1",0.048331717,"10",105.1622,"OUT017",2007,"3","2","2",1693.7952,"Non Consumable",10
"NCO55",12.8,"1",0.091221855,"12",105.5938,"OUT045",2002,"3","2","2",2143.876,"Non Consumable",15
"NCC30",16.6,"1",0.027622076,"10",177.6344,"OUT049",1999,"2","1","2",2676.516,"Non Consumable",18
"FDI16",14,"2",0.0646641146824417,"6",53.064,"OUT035",2004,"3","2","2",905.488,"Food",13
"FDP16",18.6,"1",0.039355947,"6",246.3802,"OUT049",1999,"2","1","2",7370.406,"Food",18
"FDB11",16,"1",0.060836524,"16",226.8404,"OUT035",2004,"3","2","2",6301.1312,"Food",13
"NCB06",17.6,"1",0.082316506,"9",160.692,"OUT035",2004,"3","2","2",1597.92,"Non Consumable",13
"FDA45",21.25,"1",0.155350299,"14",178.237,"OUT035",2004,"3","2","2",529.311,"Food",13
"NCO26",7.235,"1",0.076841095,"10",117.5492,"OUT035",2004,"3","2","2",1969.4364,"Non Consumable",13
"DRJ25",14.6,"1",0.151419185,"15",50.3692,"OUT017",2007,"3","2","2",1034.6532,"Drinks",10
"FDR28",13.85,"2",0.026001976,"6",161.521,"OUT018",2009,"2","3","3",1794.331,"Food",8
"FDI04",13.65,"2",0.073209447,"6",197.6426,"OUT018",2009,"2","3","3",2768.3964,"Food",8
"DRK12",9.5,"1",0.041683481,"15",31.29,"OUT027",1985,"2","3","4",898.83,"Drinks",32
"FDX20",7.365,"1",0.042560252,"7",226.172,"OUT046",1997,"3","1","2",3169.208,"Food",20
"NCI18",18.35,"1",0.014081156,"10",223.5746,"OUT018",2009,"2","3","3",3589.9936,"Non Consumable",8
"FDB36",5.465,"2",0.0642573974698545,"1",132.5626,"OUT018",2009,"2","3","3",262.3252,"Food",8
"FDN13",18.6,"1",0.152918384,"3",99.8358,"OUT017",2007,"3","2","2",1910.1802,"Food",10
"DRD24",13.85,"1",0.030969274,"15",140.9154,"OUT017",2007,"3","2","2",1701.7848,"Drinks",10
"FDQ28",14,"2",0.060376776,"6",154.5656,"OUT013",1987,"1","3","2",2471.4496,"Food",30
"FDM22",14,"2",0.04192285,"14",54.764,"OUT013",1987,"1","3","2",1331.6,"Food",30
"FDR07",21.35,"1",0.077367431,"7",97.0094,"OUT027",1985,"2","3","4",1808.9786,"Food",32
"FDV25",5.905,"1",0.045838211,"4",222.5456,"OUT018",2009,"2","3","3",3315.684,"Food",8
"DRF49",7.27,"1",0.071077939,"15",114.2518,"OUT046",1997,"3","1","2",2618.5914,"Drinks",20
"FDW51",6.155,"2",0.094659871,"11",214.556,"OUT046",1997,"3","1","2",2769.728,"Food",20
"DRL01",19.5,"2",0.077608838,"15",233.4958,"OUT017",2007,"3","2","2",5375.0034,"Drinks",10
"FDP25",15.2,"1",0.021327477,"4",216.8824,"OUT017",2007,"3","2","2",2838.9712,"Food",10
"FDL50",12.15,"2",0.042485444,"4",125.0046,"OUT018",2009,"2","3","3",1743.0644,"Food",8
"NCB30",14.6,"1",0.025578526,"10",198.8084,"OUT027",1985,"2","3","4",5555.4352,"Non Consumable",32
"FDW11",12.6,"1",0.0489808,"2",61.9194,"OUT018",2009,"2","3","3",619.194,"Food",8
"NCM43",14.5,"1",0.019471688,"12",164.821,"OUT035",2004,"3","2","2",2120.573,"Non Consumable",13
"FDK44",16.6,"1",0.122918852,"7",173.0738,"OUT017",2007,"3","2","2",3823.0236,"Food",10
"FDM15",11.8,"2",0.057373797,"11",151.4366,"OUT013",1987,"1","3","2",1360.2294,"Food",30
"FDS31",13.1,"2",0.044155597,"7",178.8318,"OUT013",1987,"1","3","2",3969.4996,"Food",30
"FDI32",17.7,"1",0.291865402,"7",115.1834,"OUT010",1998,"1","3","1",345.5502,"Food",19
"FDR47",17.85,"1",0.108134654131881,"2",196.5794,"OUT010",1998,"1","3","1",585.2382,"Food",19
"FDB35",12.3,"2",0.064750025,"16",92.6804,"OUT045",2002,"3","2","2",1010.6844,"Food",15
"NCU05",11.8,"1",0.098312421,"9",81.4618,"OUT010",1998,"1","3","1",161.1236,"Non Consumable",19
"DRY23",9.395,"2",0.191013663,"15",42.1112,"OUT019",1985,"3","1","1",42.6112,"Drinks",32
"FDO24",11.1,"1",0.176573035,"1",157.4604,"OUT045",2002,"3","2","2",3010.7476,"Food",15
"FDQ28",14,"2",0.060134441,"6",153.0656,"OUT027",1985,"2","3","4",6024.1584,"Food",32
"FDV39",11.3,"1",0.007294652,"11",198.1426,"OUT045",2002,"3","2","2",988.713,"Food",15
"NCO17",10,"1",0.128478462,"9",117.944,"OUT019",1985,"3","1","1",239.688,"Non Consumable",32
"FDU50",5.75,"2",0.075107656,"5",112.8176,"OUT013",1987,"1","3","2",1374.2112,"Food",30
"FDT12",6.215,"2",0.049381406,"1",226.8062,"OUT027",1985,"2","3","4",4739.8302,"Food",32
"FDK58",11.35,"2",0.045165796,"14",100.0016,"OUT018",2009,"2","3","3",1012.016,"Food",8
"FDO08",11.1,"2",0.09415375,"7",165.7526,"OUT019",1985,"3","1","1",657.8104,"Food",32
"NCW29",14,"1",0.028907832,"9",130.431,"OUT049",1999,"2","1","2",778.986,"Non Consumable",18
"FDE04",19.75,"2",0.018059621,"6",179.766,"OUT045",2002,"3","2","2",2336.958,"Food",15
"NCB19",6.525,"1",0.090436094,"10",85.0882,"OUT049",1999,"2","1","2",2233.0932,"Non Consumable",18
"FDV15",10.3,"1",0.146399712,"11",103.9648,"OUT049",1999,"2","1","2",1661.8368,"Food",18
"FDL58",5.78,"2",0.074264356,"14",264.7568,"OUT049",1999,"2","1","2",4745.8224,"Food",18
"FDA08",11.85,"2",0.050186726,"7",164.1526,"OUT045",2002,"3","2","2",3124.5994,"Food",15
"FDT43",16.35,"1",0.020631654,"7",50.1324,"OUT018",2009,"2","3","3",467.3916,"Food",8
"NCX06",17.6,"1",0.01561108,"10",182.5976,"OUT027",1985,"2","3","4",5070.7328,"Non Consumable",32
"FDT20",10.5,"1",0.041395445,"7",37.6164,"OUT046",1997,"3","1","2",540.6296,"Food",20
"FDB41",19,"2",0.097313129,"6",48.0718,"OUT046",1997,"3","1","2",992.7078,"Food",20
"NCN55",14.6,"1",0.059582996,"12",238.8538,"OUT049",1999,"2","1","2",6008.845,"Non Consumable",18
"FDE40",15.6,"2",0.098663652,"5",62.9194,"OUT027",1985,"2","3","4",2105.2596,"Food",32
"FDX49",4.615,"2",0.101338651,"4",232.63,"OUT027",1985,"2","3","4",5359.69,"Food",32
"NCM53",18.75,"1",0.052146456,"9",104.628,"OUT045",2002,"3","2","2",745.696,"Non Consumable",15
"FDE36",5.26,"2",0.041764487,"1",161.8868,"OUT035",2004,"3","2","2",3275.736,"Food",13
"FDN57",18.25,"1",0.054344186,"14",140.2154,"OUT045",2002,"3","2","2",1701.7848,"Food",15
"FDI24",10.3,"1",0.078362484,"1",177.937,"OUT027",1985,"2","3","4",6704.606,"Food",32
"FDI19",15.1,"1",0.052339069,"11",242.7512,"OUT046",1997,"3","1","2",4119.9704,"Food",20
"FDF24",15.5,"2",0.042464962,"1",81.5934,"OUT010",1998,"1","3","1",327.5736,"Food",19
"FDG52",13.65,"1",0.065732883,"6",45.7402,"OUT049",1999,"2","1","2",780.9834,"Food",18
"DRF36",16.1,"1",0.023625114,"15",189.3846,"OUT045",2002,"3","2","2",3630.6074,"Drinks",15
"FDS45",5.175,"2",0.051643608,"14",107.3622,"OUT019",1985,"3","1","1",317.5866,"Food",32
"FDX40",12.85,"1",0.165694219,"6",39.7164,"OUT010",1998,"1","3","1",231.6984,"Food",19
"DRK12",9.5,"1",0.041878397,"15",32.99,"OUT035",2004,"3","2","2",133.16,"Drinks",13
"DRC27",13.8,"1",0.058091482,"5",245.1802,"OUT035",2004,"3","2","2",5650.6446,"Drinks",13
"FDL58",5.78,"2",0.0646622415558602,"14",263.7568,"OUT017",2007,"3","2","2",2636.568,"Food",10
"NCD30",19.7,"1",0.026903714,"10",96.0726,"OUT045",2002,"3","2","2",1272.3438,"Non Consumable",15
"NCZ54",14.65,"1",0.108134654131881,"10",161.5552,"OUT010",1998,"1","3","1",324.9104,"Non Consumable",19
"FDE10",6.67,"2",0.150554711,"14",130.0626,"OUT010",1998,"1","3","1",131.1626,"Food",19
"FDR44",6.11,"2",0.108134654131881,"7",131.2968,"OUT010",1998,"1","3","1",260.9936,"Food",19
"FDP28",13.65,"2",0.134975628,"6",260.0936,"OUT010",1998,"1","3","1",260.9936,"Food",19
"FDX15",17.2,"1",0.15616879,"11",160.6578,"OUT013",1987,"1","3","2",3690.5294,"Food",30
"FDA39",6.32,"1",0.0646641146824417,"11",40.2822,"OUT035",2004,"3","2","2",1139.1838,"Food",13
"FDY24",4.88,"2",0.133700752,"1",52.9298,"OUT049",1999,"2","1","2",1995.4026,"Food",18
"FDC60",5.425,"2",0.115119905,"1",88.3514,"OUT017",2007,"3","2","2",1416.8224,"Food",10
"FDH28",15.85,"2",0.110030997,"6",37.2506,"OUT046",1997,"3","1","2",265.6542,"Food",20
"FDT25",7.5,"1",0.051038045,"4",121.7072,"OUT017",2007,"3","2","2",3552.7088,"Food",10
"DRJ13",12.65,"1",0.062837968,"15",161.5578,"OUT013",1987,"1","3","2",2406.867,"Drinks",30
"NCO07",9.06,"1",0.017116983,"12",211.956,"OUT019",1985,"3","1","1",213.056,"Non Consumable",32
"FDW20",20.75,"1",0.024129332,"7",124.173,"OUT013",1987,"1","3","2",2956.152,"Food",30
"DRF27",8.93,"1",0.049754975,"5",152.134,"OUT019",1985,"3","1","1",153.134,"Drinks",32
"FDS49",9,"1",0.0646641146824417,"4",79.7644,"OUT035",2004,"3","2","2",1649.8524,"Food",13
"FDX25",16.7,"1",0.101561568,"4",181.9292,"OUT027",1985,"2","3","4",3101.2964,"Food",32
"NCX42",6.36,"1",0.005949644,"10",165.6526,"OUT027",1985,"2","3","4",4769.1254,"Non Consumable",32
"FDG33",5.365,"2",0.13956116,"13",170.4764,"OUT027",1985,"2","3","4",3435.528,"Food",32
"FDL56",14.1,"1",0.126035694,"7",86.4198,"OUT045",2002,"3","2","2",1133.8574,"Food",15
"FDF14",7.55,"1",0.027164679,"4",152.334,"OUT035",2004,"3","2","2",2603.278,"Food",13
"NCD06",13,"1",0.099325278,"10",45.406,"OUT046",1997,"3","1","2",605.878,"Non Consumable",20
"DRM47",9.3,"1",0.04357366,"8",192.8846,"OUT027",1985,"2","3","4",2293.0152,"Drinks",32
"FDS46",17.6,"2",0.082741482,"14",118.7782,"OUT019",1985,"3","1","1",119.1782,"Food",32
"FDB35",12.3,"2",0.064565202,"16",92.9804,"OUT013",1987,"1","3","2",1929.4884,"Food",30
"FDX21",7.05,"1",0.084554569,"14",109.8912,"OUT027",1985,"2","3","4",2074.6328,"Food",32
"NCU05",11.8,"1",0.058451805,"9",79.9618,"OUT027",1985,"2","3","4",241.6854,"Non Consumable",32
"NCR38",17.25,"1",0.113748685,"10",251.3724,"OUT045",2002,"3","2","2",6795.1548,"Non Consumable",15
"NCR18",15.85,"1",0.020603511,"10",42.7112,"OUT017",2007,"3","2","2",639.168,"Non Consumable",10
"NCU41",18.85,"1",0.052044976,"9",192.1846,"OUT035",2004,"3","2","2",3248.4382,"Non Consumable",13
"FDY56",16.35,"2",0.062764429,"7",227.6062,"OUT017",2007,"3","2","2",7222.5984,"Food",10
"DRJ51",14.1,"1",0.087977262,"5",229.0668,"OUT035",2004,"3","2","2",3225.1352,"Drinks",13
"FDK21",7.905,"1",0.010010425,"14",249.0408,"OUT035",2004,"3","2","2",3755.112,"Food",13
"FDY25",12,"1",0.033946163,"4",179.3976,"OUT013",1987,"1","3","2",3440.8544,"Food",30
"FDU44",12.15,"2",0.058414678,"7",163.4552,"OUT035",2004,"3","2","2",974.7312,"Food",13
"FDL43",10.1,"1",0.027106459,"11",75.367,"OUT049",1999,"2","1","2",535.969,"Food",18
