"Item_Weight","Item_Fat_Content","Item_Visibility","Item_Type","Item_MRP","Outlet_Size","Outlet_Location_Type","Outlet_Type","Item_Outlet_Sales","Item_Category","Outler_Age"
7.5,"1",0.032677678,"6",239.0906,"2","1","2",5942.265,"Food",18
16.85,"2",0.160760054,"6",192.4478,"3","2","2",4843.695,"Food",10
7.485,"1",0.06911065,"14",109.0228,"3","2","2",2542.0244,"Food",13
11.6,"1",0.041177505,"15",140.3154,"3","2","2",2552.6772,"Drinks",10
11.65,"1",0.040081193,"14",227.0694,"2","3","3",1141.847,"Food",8
13,"1",0.035307322,"10",47.5034,"3","2","2",680.4476,"Non Consumable",10
12.65,"1",0.063017847,"15",159.0578,"3","2","2",2085.9514,"Drinks",15
20.25,"2",0.171938781,"4",92.512,"1","3","1",186.424,"Food",19
8.6,"2",0.040197932,"4",190.153,"3","2","2",3036.048,"Food",13
12.6,"1",0.049058014,"2",62.7194,"3","2","2",866.8716,"Food",10
17.7,"1",0.01161096,"6",95.041,"3","2","2",868.869,"Food",13
14.15,"1",0.183507295,"15",82.4276,"3","1","2",1137.1864,"Drinks",20
19.25,"1",0.102349519,"5",52.7956,"3","2","2",928.1252,"Food",10
8.88,"1",0.086708987,"8",151.7682,"1","3","2",762.341,"Drinks",30
20.5,"1",0.032835147,"10",40.2822,"3","2","2",707.0796,"Non Consumable",15
12,"1",0.033809913,"4",180.5976,"2","3","4",7968.2944,"Food",32
13.5,"1",0.07266912,"10",160.292,"3","1","2",1438.128,"Non Consumable",20
12.15,"1",0.144338493,"9",224.4404,"2","3","4",6976.2524,"Non Consumable",32
8.89,"1",0.009163216,"6",101.7016,"1","3","1",101.2016,"Food",19
7.855,"1",0.011307038,"4",188.5188,"2","3","3",952.094,"Food",8
7.235,"1",0.076855628,"10",116.0492,"3","1","2",1969.4364,"Non Consumable",20
18.25,"1",0.059956876,"16",165.4526,"2","3","4",5262.4832,"Food",32
6.92,"1",0.038532062,"5",60.5852,"3","2","2",1314.2892,"Food",15
9.3,"1",0.043209581,"7",90.8172,"3","2","2",535.3032,"Food",10
18.5,"1",0.056816465,"12",132.1284,"1","3","1",263.6568,"Non Consumable",19
8.02,"1",0.019866705,"10",154.5972,"3","2","2",1402.1748,"Non Consumable",13
9.195,"1",0.048331717,"10",105.1622,"3","2","2",1693.7952,"Non Consumable",10
12.8,"1",0.091221855,"12",105.5938,"3","2","2",2143.876,"Non Consumable",15
16.6,"1",0.027622076,"10",177.6344,"2","1","2",2676.516,"Non Consumable",18
14,"2",0.0646641146824417,"6",53.064,"3","2","2",905.488,"Food",13
18.6,"1",0.039355947,"6",246.3802,"2","1","2",7370.406,"Food",18
16,"1",0.060836524,"16",226.8404,"3","2","2",6301.1312,"Food",13
17.6,"1",0.082316506,"9",160.692,"3","2","2",1597.92,"Non Consumable",13
21.25,"1",0.155350299,"14",178.237,"3","2","2",529.311,"Food",13
7.235,"1",0.076841095,"10",117.5492,"3","2","2",1969.4364,"Non Consumable",13
14.6,"1",0.151419185,"15",50.3692,"3","2","2",1034.6532,"Drinks",10
13.85,"2",0.026001976,"6",161.521,"2","3","3",1794.331,"Food",8
13.65,"2",0.073209447,"6",197.6426,"2","3","3",2768.3964,"Food",8
9.5,"1",0.041683481,"15",31.29,"2","3","4",898.83,"Drinks",32
7.365,"1",0.042560252,"7",226.172,"3","1","2",3169.208,"Food",20
18.35,"1",0.014081156,"10",223.5746,"2","3","3",3589.9936,"Non Consumable",8
5.465,"2",0.0642573974698545,"1",132.5626,"2","3","3",262.3252,"Food",8
18.6,"1",0.152918384,"3",99.8358,"3","2","2",1910.1802,"Food",10
13.85,"1",0.030969274,"15",140.9154,"3","2","2",1701.7848,"Drinks",10
14,"2",0.060376776,"6",154.5656,"1","3","2",2471.4496,"Food",30
14,"2",0.04192285,"14",54.764,"1","3","2",1331.6,"Food",30
21.35,"1",0.077367431,"7",97.0094,"2","3","4",1808.9786,"Food",32
5.905,"1",0.045838211,"4",222.5456,"2","3","3",3315.684,"Food",8
7.27,"1",0.071077939,"15",114.2518,"3","1","2",2618.5914,"Drinks",20
6.155,"2",0.094659871,"11",214.556,"3","1","2",2769.728,"Food",20
19.5,"2",0.077608838,"15",233.4958,"3","2","2",5375.0034,"Drinks",10
15.2,"1",0.021327477,"4",216.8824,"3","2","2",2838.9712,"Food",10
12.15,"2",0.042485444,"4",125.0046,"2","3","3",1743.0644,"Food",8
14.6,"1",0.025578526,"10",198.8084,"2","3","4",5555.4352,"Non Consumable",32
12.6,"1",0.0489808,"2",61.9194,"2","3","3",619.194,"Food",8
14.5,"1",0.019471688,"12",164.821,"3","2","2",2120.573,"Non Consumable",13
16.6,"1",0.122918852,"7",173.0738,"3","2","2",3823.0236,"Food",10
11.8,"2",0.057373797,"11",151.4366,"1","3","2",1360.2294,"Food",30
13.1,"2",0.044155597,"7",178.8318,"1","3","2",3969.4996,"Food",30
17.7,"1",0.291865402,"7",115.1834,"1","3","1",345.5502,"Food",19
17.85,"1",0.108134654131881,"2",196.5794,"1","3","1",585.2382,"Food",19
12.3,"2",0.064750025,"16",92.6804,"3","2","2",1010.6844,"Food",15
11.8,"1",0.098312421,"9",81.4618,"1","3","1",161.1236,"Non Consumable",19
9.395,"2",0.191013663,"15",42.1112,"3","1","1",42.6112,"Drinks",32
11.1,"1",0.176573035,"1",157.4604,"3","2","2",3010.7476,"Food",15
14,"2",0.060134441,"6",153.0656,"2","3","4",6024.1584,"Food",32
11.3,"1",0.007294652,"11",198.1426,"3","2","2",988.713,"Food",15
10,"1",0.128478462,"9",117.944,"3","1","1",239.688,"Non Consumable",32
5.75,"2",0.075107656,"5",112.8176,"1","3","2",1374.2112,"Food",30
6.215,"2",0.049381406,"1",226.8062,"2","3","4",4739.8302,"Food",32
11.35,"2",0.045165796,"14",100.0016,"2","3","3",1012.016,"Food",8
11.1,"2",0.09415375,"7",165.7526,"3","1","1",657.8104,"Food",32
14,"1",0.028907832,"9",130.431,"2","1","2",778.986,"Non Consumable",18
19.75,"2",0.018059621,"6",179.766,"3","2","2",2336.958,"Food",15
6.525,"1",0.090436094,"10",85.0882,"2","1","2",2233.0932,"Non Consumable",18
10.3,"1",0.146399712,"11",103.9648,"2","1","2",1661.8368,"Food",18
5.78,"2",0.074264356,"14",264.7568,"2","1","2",4745.8224,"Food",18
11.85,"2",0.050186726,"7",164.1526,"3","2","2",3124.5994,"Food",15
16.35,"1",0.020631654,"7",50.1324,"2","3","3",467.3916,"Food",8
17.6,"1",0.01561108,"10",182.5976,"2","3","4",5070.7328,"Non Consumable",32
10.5,"1",0.041395445,"7",37.6164,"3","1","2",540.6296,"Food",20
19,"2",0.097313129,"6",48.0718,"3","1","2",992.7078,"Food",20
14.6,"1",0.059582996,"12",238.8538,"2","1","2",6008.845,"Non Consumable",18
15.6,"2",0.098663652,"5",62.9194,"2","3","4",2105.2596,"Food",32
4.615,"2",0.101338651,"4",232.63,"2","3","4",5359.69,"Food",32
18.75,"1",0.052146456,"9",104.628,"3","2","2",745.696,"Non Consumable",15
5.26,"2",0.041764487,"1",161.8868,"3","2","2",3275.736,"Food",13
18.25,"1",0.054344186,"14",140.2154,"3","2","2",1701.7848,"Food",15
10.3,"1",0.078362484,"1",177.937,"2","3","4",6704.606,"Food",32
15.1,"1",0.052339069,"11",242.7512,"3","1","2",4119.9704,"Food",20
15.5,"2",0.042464962,"1",81.5934,"1","3","1",327.5736,"Food",19
13.65,"1",0.065732883,"6",45.7402,"2","1","2",780.9834,"Food",18
16.1,"1",0.023625114,"15",189.3846,"3","2","2",3630.6074,"Drinks",15
5.175,"2",0.051643608,"14",107.3622,"3","1","1",317.5866,"Food",32
12.85,"1",0.165694219,"6",39.7164,"1","3","1",231.6984,"Food",19
9.5,"1",0.041878397,"15",32.99,"3","2","2",133.16,"Drinks",13
13.8,"1",0.058091482,"5",245.1802,"3","2","2",5650.6446,"Drinks",13
5.78,"2",0.0646622415558602,"14",263.7568,"3","2","2",2636.568,"Food",10
19.7,"1",0.026903714,"10",96.0726,"3","2","2",1272.3438,"Non Consumable",15
14.65,"1",0.108134654131881,"10",161.5552,"1","3","1",324.9104,"Non Consumable",19
6.67,"2",0.150554711,"14",130.0626,"1","3","1",131.1626,"Food",19
6.11,"2",0.108134654131881,"7",131.2968,"1","3","1",260.9936,"Food",19
13.65,"2",0.134975628,"6",260.0936,"1","3","1",260.9936,"Food",19
17.2,"1",0.15616879,"11",160.6578,"1","3","2",3690.5294,"Food",30
6.32,"1",0.0646641146824417,"11",40.2822,"3","2","2",1139.1838,"Food",13
4.88,"2",0.133700752,"1",52.9298,"2","1","2",1995.4026,"Food",18
5.425,"2",0.115119905,"1",88.3514,"3","2","2",1416.8224,"Food",10
15.85,"2",0.110030997,"6",37.2506,"3","1","2",265.6542,"Food",20
7.5,"1",0.051038045,"4",121.7072,"3","2","2",3552.7088,"Food",10
12.65,"1",0.062837968,"15",161.5578,"1","3","2",2406.867,"Drinks",30
9.06,"1",0.017116983,"12",211.956,"3","1","1",213.056,"Non Consumable",32
20.75,"1",0.024129332,"7",124.173,"1","3","2",2956.152,"Food",30
8.93,"1",0.049754975,"5",152.134,"3","1","1",153.134,"Drinks",32
9,"1",0.0646641146824417,"4",79.7644,"3","2","2",1649.8524,"Food",13
16.7,"1",0.101561568,"4",181.9292,"2","3","4",3101.2964,"Food",32
6.36,"1",0.005949644,"10",165.6526,"2","3","4",4769.1254,"Non Consumable",32
5.365,"2",0.13956116,"13",170.4764,"2","3","4",3435.528,"Food",32
14.1,"1",0.126035694,"7",86.4198,"3","2","2",1133.8574,"Food",15
7.55,"1",0.027164679,"4",152.334,"3","2","2",2603.278,"Food",13
13,"1",0.099325278,"10",45.406,"3","1","2",605.878,"Non Consumable",20
9.3,"1",0.04357366,"8",192.8846,"2","3","4",2293.0152,"Drinks",32
17.6,"2",0.082741482,"14",118.7782,"3","1","1",119.1782,"Food",32
12.3,"2",0.064565202,"16",92.9804,"1","3","2",1929.4884,"Food",30
7.05,"1",0.084554569,"14",109.8912,"2","3","4",2074.6328,"Food",32
11.8,"1",0.058451805,"9",79.9618,"2","3","4",241.6854,"Non Consumable",32
17.25,"1",0.113748685,"10",251.3724,"3","2","2",6795.1548,"Non Consumable",15
15.85,"1",0.020603511,"10",42.7112,"3","2","2",639.168,"Non Consumable",10
18.85,"1",0.052044976,"9",192.1846,"3","2","2",3248.4382,"Non Consumable",13
16.35,"2",0.062764429,"7",227.6062,"3","2","2",7222.5984,"Food",10
14.1,"1",0.087977262,"5",229.0668,"3","2","2",3225.1352,"Drinks",13
7.905,"1",0.010010425,"14",249.0408,"3","2","2",3755.112,"Food",13
12,"1",0.033946163,"4",179.3976,"1","3","2",3440.8544,"Food",30
12.15,"2",0.058414678,"7",163.4552,"3","2","2",974.7312,"Food",13
10.1,"1",0.027106459,"11",75.367,"2","1","2",535.969,"Food",18
17.5,"1",0.027022883,"6",262.491,"3","2","2",5259.82,"Food",10
18.35,"1",0.058153409,"5",152.034,"3","1","1",306.268,"Drinks",32
17.1,"1",0.128937661,"7",112.3886,"2","3","3",1779.0176,"Food",8
7.785,"1",0.088846306,"7",61.451,"2","1","2",759.012,"Food",18
11.8,"2",0.09357779,"14",125.9704,"1","3","2",1877.556,"Food",30
13.15,"2",0.165694678,"7",171.8764,"3","2","2",3779.0808,"Food",15
6.4,"1",0.148392623,"6",41.5796,"3","1","1",41.2796,"Food",32
8.5,"1",0.098438394,"4",51.1324,"3","2","2",259.662,"Food",10
8.645,"1",0.143303291,"9",96.341,"1","3","2",193.082,"Non Consumable",30
17.6,"2",0.076276208,"11",110.9202,"3","2","2",1687.803,"Food",15
9.1,"1",0.175103435,"1",127.5362,"3","2","2",4655.9394,"Food",10
12.8,"2",0.023511371,"11",225.9404,"1","3","2",4950.8888,"Food",30
7.63,"1",0.06105276,"15",95.4436,"3","2","2",1418.154,"Drinks",13
9.285,"2",0.049559042,"6",246.4144,"3","2","2",1225.072,"Food",10
13.6,"2",0.119418124,"5",231.03,"3","2","2",5359.69,"Food",15
8.895,"1",0.072545601,"3",176.237,"3","2","2",1764.37,"Food",15
16.35,"1",0.090486828,"10",195.211,"1","3","2",2553.343,"Non Consumable",30
17.6,"1",0.056245075,"6",43.3454,"1","3","2",1006.6896,"Food",30
7.975,"1",0.014618973,"1",85.225,"1","3","2",1081.925,"Food",30
15.85,"1",0.043479126,"16",36.7164,"3","2","2",308.9312,"Food",10
15.7,"1",0.045166237,"6",178.666,"1","3","2",2516.724,"Food",30
8.985,"2",0.057827101,"6",128.831,"3","1","2",1428.141,"Food",20
20.35,"1",0.089394766,"5",260.1594,"1","3","2",2093.2752,"Food",30
6.59,"1",0.10550944,"7",85.6908,"1","3","2",1929.4884,"Food",30
19.85,"1",0.005234153,"5",264.0884,"3","2","2",5829.7448,"Food",13
16.85,"1",0.036390174,"14",91.4488,"3","1","2",2082.6224,"Food",20
19.35,"1",0.03292824,"11",173.1738,"2","3","4",7298.4996,"Food",32
16.75,"1",0.081252534,"7",256.4988,"1","3","2",7452.9652,"Food",30
17.6,"2",0.076552407,"11",110.5202,"3","2","2",450.0808,"Food",10
7.905,"1",0.016758569,"14",250.4408,"1","3","1",500.6816,"Food",19
17.85,"1",0.044248175,"14",126.202,"2","3","4",3668.558,"Food",32
7.785,"2",0.038288087,"7",103.1964,"2","3","3",736.3748,"Food",8
7.825,"1",0.186032678,"10",253.0698,"3","2","2",6088.0752,"Non Consumable",13
9,"1",0.031867464,"10",101.0016,"2","3","4",2125.2336,"Non Consumable",32
20.75,"1",0.021370201,"15",153.0024,"3","2","2",2277.036,"Drinks",10
11.1,"1",0.193772568,"7",190.3846,"3","1","1",573.2538,"Food",32
6.26,"2",0.009866049,"11",151.1366,"3","2","2",2267.049,"Food",13
18.2,"1",0.082551042,"7",147.3734,"1","3","1",296.9468,"Food",19
13,"1",0.099729888,"10",46.306,"2","3","3",559.272,"Non Consumable",8
20.25,"2",0.018801549,"7",222.1772,"3","2","2",5559.43,"Food",13
8.695,"1",0.119721451,"10",95.5094,"2","1","2",1237.7222,"Non Consumable",18
7.27,"1",0.071222087,"15",113.5518,"3","2","2",569.259,"Drinks",15
10.695,"2",0.060371962,"3",174.0712,"2","3","4",3866.9664,"Food",32
12.85,"1",0.033287541,"7",198.4768,"3","2","2",1379.5376,"Food",15
7.075,"1",0.05858462,"5",142.7128,"2","3","3",1869.5664,"Food",8
20.2,"2",0.11679292,"1",196.211,"2","3","4",5499.508,"Food",32
8.195,"1",0.031452265,"1",94.3462,"2","1","2",925.462,"Food",18
7.09,"1",0.00721395,"1",47.9034,"3","2","2",583.2408,"Food",13
6.095,"1",0.081196619,"12",141.4154,"3","1","2",1418.154,"Non Consumable",20
19.35,"2",0.049916364,"7",80.2644,"3","2","2",942.7728,"Food",10
6.15,"1",0.04627095,"1",99.3384,"3","1","2",2364.9216,"Food",20
17.35,"2",0.02747716,"4",87.9856,"2","3","4",3251.7672,"Food",32
20.2,"2",0.104704537,"7",125.2678,"3","1","1",254.3356,"Food",32
17.7,"1",0.012540003,"10",167.0474,"3","2","2",5895.659,"Non Consumable",13
17.85,"1",0.147023834,"2",93.7436,"2","3","3",1134.5232,"Food",8
9.395,"1",0.159657596,"15",224.972,"3","2","2",7696.648,"Drinks",15
15.75,"1",0.141398626,"8",250.5382,"3","2","2",2775.7202,"Drinks",10
7.475,"1",0.148821808,"7",241.2854,"3","2","2",5317.0788,"Food",15
7.075,"1",0.0642573974698545,"6",98.0068,"2","3","3",874.8612,"Food",8
6.445,"1",0.029691762,"1",92.6436,"3","1","2",1039.9796,"Food",20
19.1,"1",0.096715523,"7",235.0958,"3","2","2",3038.0454,"Food",13
20.25,"2",0.014790559,"5",193.6162,"3","2","2",3848.324,"Food",13
15,"2",0.054378253,"4",59.1904,"3","1","2",527.3136,"Food",20
6.67,"2",0.123428594,"14",89.1514,"3","1","2",2390.8878,"Food",20
13,"2",0.029943463,"4",60.222,"2","3","4",1677.816,"Food",32
16.7,"2",0.052368061,"6",112.7176,"1","3","2",801.6232,"Food",30
7.07,"1",0.093861144,"14",115.5834,"3","2","2",1267.0174,"Food",15
6.48,"1",0.033968647,"14",148.0076,"3","2","2",886.8456,"Food",15
19,"2",0.173154079,"7",228.272,"1","3","1",452.744,"Food",19
13.35,"1",0.139735226,"6",147.5392,"3","2","2",3877.6192,"Food",15
5.98,"1",0.043351896,"7",146.6418,"2","3","4",4414.254,"Food",32
9.3,"1",0.042086652,"8",122.4388,"2","3","4",5448.9072,"Drinks",32
9.695,"2",0.12848269,"1",223.9404,"2","1","2",4950.8888,"Food",18
15,"1",0.049357077,"15",62.6168,"3","2","2",958.752,"Drinks",10
11.15,"2",0.008326735,"5",149.9708,"3","2","2",1956.1204,"Food",10
20.85,"1",0.021362955,"7",103.2306,"2","1","2",2404.2038,"Food",18
9.8,"1",0.151420934,"12",194.3478,"1","3","1",387.4956,"Non Consumable",19
16.35,"1",0.032511818,"11",165.0842,"1","3","2",994.7052,"Food",30
9.6,"2",0.022323658,"2",101.299,"3","2","2",1754.383,"Food",15
18,"1",0.019292355,"9",129.9994,"2","3","4",3340.9844,"Non Consumable",32
13.35,"1",0.048124443,"2",216.7166,"3","2","2",3918.8988,"Food",15
20.7,"1",0.09261307,"5",76.367,"1","3","2",306.268,"Drinks",30
15.1,"1",0.094697274,"1",158.4604,"2","3","4",4278.4308,"Food",32
16.2,"1",0.035984104,"7",260.6278,"3","2","2",4425.5726,"Food",15
13.8,"2",0.056596985,"14",230.9984,"2","3","4",9267.936,"Food",32
15.6,"1",0.2047,"6",76.867,"3","1","1",229.701,"Food",32
21.1,"2",0.020618324,"3",129.3994,"2","3","4",2055.9904,"Food",32
5.5,"1",0.04709821,"12",101.3016,"3","1","2",3339.6528,"Non Consumable",20
15.1,"2",0.087584126,"7",221.7456,"3","2","2",6410.3224,"Food",15
15.7,"2",0.038078899,"6",122.9046,"3","2","2",1992.0736,"Food",10
7.895,"2",0.095102092,"3",104.4332,"3","2","2",2870.9296,"Food",10
17.2,"2",0.011953902,"4",164.5184,"2","3","4",2807.0128,"Food",32
17.35,"2",0.062799379,"1",88.183,"1","3","2",539.298,"Food",30
7.285,"1",0.031125709,"10",174.3054,"1","3","2",4377.635,"Non Consumable",30
20.25,"1",0.026005891,"10",180.9976,"3","2","2",2716.464,"Non Consumable",15
18.75,"1",0.09246392,"14",190.9504,"3","1","1",383.5008,"Food",32
